id_station,id_pic,date_dayno,name_order,name_com,name_sci,name_code,count_pic,count_ind
BSLL17,C0271289,9,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL17,C0618243,13,M,Labba,Cuniculus paca,CUNPAC,2,1
BSLL17,C1913740,26,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL17,C1920071,26,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL17,C2971947,36,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL17,D0418438,42,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL17,D0581875,43,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL17,D0773042,45,M,Labba,Cuniculus paca,CUNPAC,2,2
BSLL17,D1077874,48,M,Labba,Cuniculus paca,CUNPAC,1,2
BSLL41,C3082338,32,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL12B,D0583804,46,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL12B,D1204232,53,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL311,PICT0415,42,M,Labba,Cuniculus paca,CUNPAC,3,1
BSLL25,E2579628,27,M,Margay,Leopardus wiedii,LEOWIE,1,1
BSLL25,E2583787,26,M,Margay,Leopardus wiedii,LEOWIE,1,1
BSLL10,B2573484,3,M,Margay,Leopardus wiedii,LEOWIE,1,1
BSLL11,B1870216,36,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,B2609244,4,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,B2802507,6,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,C0309125,10,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,C0413314,11,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,C1474962,21,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,C2222630,29,M,Ocelot,Leopardus pardalis,LEOPAR,2,1
BSLL321,C2780363,34,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,C2870429,35,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,C2883221,35,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,C2885574,35,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,C2925714,36,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,D0200645,40,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,D0223162,40,M,Ocelot,Leopardus pardalis,LEOPAR,2,2
BSLL321,D0319208,41,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,D0519650,43,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,D0782488,45,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,D0913635,47,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,D0972501,47,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL321,D1179549,49,M,Ocelot,Leopardus pardalis,LEOPAR,1,1
BSLL311,PICT0124,7,M,Ocelot,Leopardus pardalis,LEOPAR,3,1
BSLL311,PICT0133,8,M,Ocelot,Leopardus pardalis,LEOPAR,3,1
BSLL311,PICT0232,16,M,Ocelot,Leopardus pardalis,LEOPAR,3,1
BSLL311,PICT0433,45,M,Ocelot,Leopardus pardalis,LEOPAR,3,1
BSLL25,E2743559,26,M,Puma,Puma concolor,PUMCON,2,1
BSLL321,B2870661,6,M,Puma,Puma concolor,PUMCON,1,1
BSLL321,D0204649,40,M,Puma,Puma concolor,PUMCON,1,1
BSLL33b,B2481216,2,M,Puma,Puma concolor,PUMCON,2,1
BSLL33b,B2872847,6,M,Puma,Puma concolor,PUMCON,1,1
BSLL33b,C0462078,11,M,Puma,Puma concolor,PUMCON,1,1
BSLL311,PICT0085,2,M,Puma,Puma concolor,PUMCON,3,1
BSLL20,C2662769,33,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL21,C0108561,6,M,Red brocket deer,Mazama americana,MAZAME,4,1
BSLL21,D0528102,41,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL21,D0650408,42,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL21,D1437670,50,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL33,C1184984,15,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL15,C1465833,21,M,Red brocket deer,Mazama americana,MAZAME,5,1
BSLL15,D1267092,50,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL26,B2914180,7,M,Red brocket deer,Mazama americana,MAZAME,3,1
BSLL26,C1425880,21,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL24,B2905074,5,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL321,C1055682,17,M,Red brocket deer,Mazama americana,MAZAME,3,1
BSLL45,B2760902,2,M,Red brocket deer,Mazama americana,MAZAME,3,1
BSLL45,C0647353,10,M,Red brocket deer,Mazama americana,MAZAME,4,1
BSLL45,C0853293,12,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL45,C0862836,12,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL45,C1151528,15,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL45,C1220157,16,M,Red brocket deer,Mazama americana,MAZAME,4,1
BSLL45,C1243475,16,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL45,C1251548,16,M,Red brocket deer,Mazama americana,MAZAME,3,1
BSLL45,C2071037,24,M,Red brocket deer,Mazama americana,MAZAME,9,2
BSLL45,C2800251,32,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL45,D0125173,36,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL45,D0949656,44,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL45,D1236100,47,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL1011,NA,10,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL33b,C1235300,19,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL33b,C2280988,29,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL12B,C1782359,27,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL14,Cdy00031,11,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL14,Cdy00037,18,M,Red brocket deer,Mazama americana,MAZAME,2,1
BSLL14,Cdy00043,43,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL14,Cdy00046,45,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL14,Cdy00049,54,M,Red brocket deer,Mazama americana,MAZAME,1,1
BSLL10,B2508474,3,M,Savannah Fox,Cerdocyon thous,CERTHO,2,1
BSLL10,C0772615,14,M,Savannah Fox,Cerdocyon thous,CERTHO,2,2
BSLL10,C0976838,16,M,Savannah Fox,Cerdocyon thous,CERTHO,1,2
BSLL10,C1584981,22,M,Savannah Fox,Cerdocyon thous,CERTHO,1,2
BSLL10,C1602860,23,M,Savannah Fox,Cerdocyon thous,CERTHO,1,2
BSLL10,C2019612,27,M,Savannah Fox,Cerdocyon thous,CERTHO,1,2
BSLL10,C2676977,33,M,Savannah Fox,Cerdocyon thous,CERTHO,1,2
BSLL10,D0218755,40,M,Savannah Fox,Cerdocyon thous,CERTHO,3,2
BSLL10,D0323080,41,M,Savannah Fox,Cerdocyon thous,CERTHO,1,1
BSLL10,D0480963,42,M,Savannah Fox,Cerdocyon thous,CERTHO,1,2
BSLL34,C2027034,25,M,Savannah Fox,Cerdocyon thous,CERTHO,1,1
BSLL311,PICT0092,3,M,Savannah Fox,Cerdocyon thous,CERTHO,6,1
BSLL311,PICT0100,4,M,Savannah Fox,Cerdocyon thous,CERTHO,3,1
BSLL311,PICT0190,13,M,Savannah Fox,Cerdocyon thous,CERTHO,3,1
BSLL25,E1629901,21,M,Tapir,Tapirus terrestris,TAPTER,3,1
BSLL21,B2526525,1,M,Tapir,Tapirus terrestris,TAPTER,2,1
BSLL21,C0972346,14,M,Tapir,Tapirus terrestris,TAPTER,8,1
BSLL15,C0621807,13,M,Tapir,Tapirus terrestris,TAPTER,9,1
BSLL26,C0371994,10,M,Tapir,Tapirus terrestris,TAPTER,4,1
BSLL41,C1418553,16,M,Tapir,Tapirus terrestris,TAPTER,1,1
BSLL321,C0383511,10,M,Tapir,Tapirus terrestris,TAPTER,6,1
BSLL321,C0505031,12,M,Tapir,Tapirus terrestris,TAPTER,1,1
BSLL321,C0506914,12,M,Tapir,Tapirus terrestris,TAPTER,2,1
BSLL321,C0806255,15,M,Tapir,Tapirus terrestris,TAPTER,1,1
BSLL321,C1074070,17,M,Tapir,Tapirus terrestris,TAPTER,3,1
BSLL321,C1975461,26,M,Tapir,Tapirus terrestris,TAPTER,1,1
BSLL321,D0401104,42,M,Tapir,Tapirus terrestris,TAPTER,1,1
BSLL321,D1083233,48,M,Tapir,Tapirus terrestris,TAPTER,1,1
BSLL45,B2747915,2,M,Tapir,Tapirus terrestris,TAPTER,11,1
BSLL45,C0674878,10,M,Tapir,Tapirus terrestris,TAPTER,1,1
