Camera #,Station ID,Date Started,Date Captured,Day,Time,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.,Comments
50,CT1Z,18/09/2014,11/10/2014,24,23:41,M,Red Brocket Deer,Mazama americana,1,1,"Animal is walking passed the camera, short antlers are present."
50,CT1Z,18/09/2014,12/10/2014,25,20:08,M,Armadillo,Dasypus sp.,1,1,Scurrying passed the camera.
50,CT1Z,18/09/2014,13/10/2014,26,5:42,B,Black Curassow,Crax alector,1,1,Strutting passed the camera.
50,CT1Z,18/09/2014,13/10/2014,26,19:43,M,Ocelot,Leopardus pardalis,1,1,Photo taken on left side of the animal.
50,CT1Z,18/09/2014,15/10/2014,28,5:54,B,Black Curassow,Crax alector,1,2,A pair of birds walking passed the camera.
50,CT1Z,18/09/2014,21/10/2014,34,5:52,B,Black Curassow,Crax alector,1,1,Single bird walking away in the direction in which the camera is pointing.
50,CT1Z,18/09/2014,21/10/2014,34,13:36,B,Black Curassow,Crax alector,1,1,Bird walking towards the right end of the picture.
50,CT1Z,18/09/2014,23/10/2014,36,15:50,B,Black Curassow,Crax alector,2,1,Bird walking towards the left end of the picture.
50,CT1Z,18/09/2014,24/10/2014,37,16:13,M,Agouti,Dasyprocta leporina,1,1,Animal is either fetching an object or has a wound on its upper jaw.
50,CT1Z,18/09/2014,25/10/2014,38,16:05,B,Black Curassow,Crax alector,2,2,
50,CT1Z,18/09/2014,28/10/2014,41,15:13,B,Black Curassow,Crax alector,1,1,Solitary animal walking passed the camera.
50,CT1Z,18/09/2014,29/10/2014,42,5:40,B,Grey-winged trumpeter,Psophia crepitans,1,6,"Group of animals gathered in the lightly excavated area, at least one of them appears to be foraging."
50,CT1Z,18/09/2014,01/11/2014,45,10:34,M,Collared Peccary,Pecari tajacu,2,2,It obscures the surroundings and possibly other individuals from view. 
50,CT1Z,18/09/2014,02/11/2014,46,12:13,B,Grey-winged trumpeter,Psophia crepitans,2,1,Animal is walking in one direction and then seems to make an about turn.
50,CT1Z,18/09/2014,04/11/2014,48,6:13,B,Black Curassow,Crax alector,1,1,Bird is strutting passed the camera.
50,CT1Z,18/09/2014,05/11/2014,49,13:31,B,Grey-winged trumpeter,Psophia crepitans,2,3,Animals are seen walking passed the camera
50,CT1Z,18/09/2014,07/11/2014,51,7:09,B,Black Curassow,Crax alector,1,1,Only part of the tail and wing of the animal are visible making identification tedious.
50,CT1Z,18/09/2014,07/11/2014,51,23:47,M,Red Brocket Deer,Mazama americana,1,1,Animal appears to be foraging.
50,CT1Z,18/09/2014,08/11/2014,52,17:10,B,Grey-winged trumpeter,Psophia crepitans,1,2,One animal has its head in a strange position with its beak open and its tongue out.
50,CT1Z,18/09/2014,10/11/2014,54,9:10,B,Black Curassow,Crax alector,1,1,Animal is walking passed the camera.
52,CT1D,18/09/2014,27/09/2014,10,10:02,M,Collared Peccary,Pecari tajacu,3,1,"Appears to be walking,looking directly in camera,"
52,CT1D,18/09/2014,09/10/2014,22,19:31,M,Lowland Paca,Cuniculus paca,1,1,Appears to be foraging
52,CT1D,18/09/2014,10/10/2014,23,11:23,M,Agouti,Dasyprocta leporina,1,1,Wound on the left side of the face
52,CT1D,18/09/2014,12/10/2014,25,8:22,M,Agouti,Dasyprocta leporina,1,1,Appears to be a scar on the left side of face and bruises on the fore leg
52,CT1D,18/09/2014,16/10/2014,29,12:17,M,Agouti,Dasyprocta leporina,1,1,Appears to have a swollwen mass above the left leg
52,CT1D,18/09/2014,18/10/2014,31,14:43,M,Agouti,Dasyprocta leporina,1,1,Appears to be looking for food
52,CT1D,18/09/2014,03/11/2014,47,19:01,M,Agouti,Dasyprocta leporina,1,1,Appears to be looking for food
53,CT6R,24/09/2014,29/09/2014,6,9:54,M,Collared Peccary,Pecari tajacu,5,3,Peccaries appear to be foraging and crossing the trail. Largest number observed in one photo is 3.
53,CT6R,24/09/2014,29/09/2014,6,10:17,M,Collared Peccary,Pecari tajacu,1,1,Three individuals again crossing the trail.
53,CT6R,24/09/2014,30/09/2014,7,14:19,M,Puma,Puma concolor,1,1,"Right side of animal taken, animal appears somewhat thin."
53,CT6R,24/09/2014,02/10/2014,9,18:58,M,Ocelot,Leopardus pardalis,1,1,Left side of male animal captured
53,CT6R,24/09/2014,03/10/2014,10,0:46,M,Red Brocket Deer,Mazama americana,1,1,Animal crossing the trail.
53,CT6R,24/09/2014,03/10/2014,10,2:40,M,Puma,Puma concolor,1,1,Right side of animal captured. Possibly an old circular wound present behind the right shoulder.
53,CT6R,24/09/2014,04/10/2014,11,12:09,M,Jaguar,Panthera onca,1,1,"Left side of animal captured, from left leg to tail in photo."
53,CT6R,24/09/2014,06/10/2014,13,23:11,M,Red Brocket Deer,Mazama americana,1,1,Animal crossing the trail.
53,CT6R,24/09/2014,07/10/2014,14,22:12,M,Ocelot,Leopardus pardalis,1,1,Right side of male animal captured.
53,CT6R,24/09/2014,09/10/2014,16,15:31,M,Agouti,Dasyprocta leporina,1,1,Animal crossing the trail.
53,CT6R,24/09/2014,11/10/2014,18,4:27,M,Jaguar,Panthera onca,1,1,"Right side of animal captured, anterior and mid section in photo. Appears young."
53,CT6R,24/09/2014,13/10/2014,20,3:55,M,Ocelot,Leopardus pardalis,1,1,Left side of male animal captured
53,CT6R,24/09/2014,18/10/2014,25,10:43,M,Jaguar,Panthera onca,1,1,Left side of animal captured.
53,CT6R,24/09/2014,22/10/2014,29,6:48,M,Agouti,Dasyprocta leporina,1,1,Animal crossing the trail.
