id_ct,id_station,date_set,date_capt,date_dayno,time,name_order,name_com,name_sci,name_code,count_pic,count_ind,comments
15,CT5B,2014-09-22T00:00:00Z,2014-10-02T00:00:00Z,11,17:52:00,M,Red Brocket deer,Mazama americana,MAZAME,2,1,What appears to be the rump of an animal can be seen in the photograph.
19,CT2C,2014-09-19T00:00:00Z,2014-09-21T00:00:00Z,3,15:46:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,4,Appear to lingering around the camera
19,CT2C,2014-09-19T00:00:00Z,2014-09-25T00:00:00Z,7,17:33:00,M,Agouti,Dasyprocta leporina,DASLEP,3,1,Appears to be a male carrying an object in its mouth
19,CT2C,2014-09-19T00:00:00Z,2014-09-27T00:00:00Z,9,07:25:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be  carrying an object in its mouth
19,CT2C,2014-09-19T00:00:00Z,2014-09-27T00:00:00Z,9,08:02:00,M,Agouti,Dasyprocta leporina,DASLEP,2,1,Appears to be  foraging
19,CT2C,2014-09-19T00:00:00Z,2014-09-27T00:00:00Z,9,08:38:00,M,Agouti,Dasyprocta leporina,DASLEP,6,1,Appears to walking
19,CT2C,2014-09-19T00:00:00Z,2014-09-27T00:00:00Z,9,09:19:00,M,Agouti,Dasyprocta leporina,DASLEP,4,1,"Appears to be  foraging,carring object in its mouth"
19,CT2C,2014-09-19T00:00:00Z,2014-09-27T00:00:00Z,9,12:43:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,left side. Cute photograph
19,CT2C,2014-09-19T00:00:00Z,2014-09-27T00:00:00Z,9,16:53:00,M,Agouti,Dasyprocta leporina,DASLEP,6,1,"Appears to running, injured and carrying object in its mouth"
19,CT2C,2014-09-19T00:00:00Z,2014-09-28T00:00:00Z,10,06:11:00,M,Agouti,Dasyprocta leporina,DASLEP,3,1,Appears to be an injured female  carrying an object in ts mouth
19,CT2C,2014-09-19T00:00:00Z,2014-09-28T00:00:00Z,10,15:44:00,M,Agouti,Dasyprocta leporina,DASLEP,5,2,"Appears to walking,male,scar on the left jaw"
19,CT2C,2014-09-19T00:00:00Z,2014-09-28T00:00:00Z,10,16:33:00,M,Agouti,Dasyprocta leporina,DASLEP,2,1,Appears to be foraging
19,CT2C,2014-09-19T00:00:00Z,2014-09-29T00:00:00Z,11,08:38:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be  carrying an object in its mouth
19,CT2C,2014-09-19T00:00:00Z,2014-10-03T00:00:00Z,15,04:38:00,M,Red Brocket Deer,Mazama americana,MAZAME,1,1,Appears to just be standing
