CT#,Station,Picture ID,Date,Date Set,DAY,Time,Date_Corr,Time_Corr,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.
DD3,BSLL311,PICT0133,02/03/2016,24/02/2016,8,01:35,02/03/2016,01:35,M,Ocelot,Leopardus pardalis,3,1
DD3,BSLL311,PICT0232,10/03/2016,24/02/2016,16,00:01,10/03/2016,00:01,M,Ocelot,Leopardus pardalis,3,1
DD3,BSLL311,PICT0433,08/04/2016,24/02/2016,45,20:07,08/04/2016,20:07,M,Ocelot,Leopardus pardalis,3,1
DD3,BSLL311,PICT0085,25/02/2016,24/02/2016,2,16:11,25/02/2016,16:11,M,Puma,Puma concolor,3,1
51743,BSLL321,B2425056,24/02/2016,23/02/2016,2,06:57,24/02/2016,06:57,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,B2659876,26/02/2016,23/02/2016,4,16:37,26/02/2016,16:37,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,B2960054,29/02/2016,23/02/2016,7,16:40,29/02/2016,16:40,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,C1646715,16/03/2016,23/02/2016,23,12:58,16/03/2016,12:58,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,C2229385,22/03/2016,23/02/2016,29,08:09,22/03/2016,08:09,M,Agouti,Dasyprocta leporina,2,1
51743,BSLL321,C2646750,26/03/2016,23/02/2016,33,12:59,26/03/2016,12:59,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,D1035375,10/04/2016,23/02/2016,48,09:49,10/04/2016,09:49,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,D1042950,10/04/2016,23/02/2016,48,11:55,10/04/2016,11:55,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,D1226853,12/04/2016,23/02/2016,50,07:27,12/04/2016,07:27,M,Agouti,Dasyprocta leporina,1,1
51743,BSLL321,B2609244,26/02/2016,23/02/2016,4,02:34,26/02/2016,02:34,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,B2802507,28/02/2016,23/02/2016,6,00:41,28/02/2016,00:41,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,C0309125,03/03/2016,23/02/2016,10,02:32,03/03/2016,02:32,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,C0413314,04/03/2016,23/02/2016,11,03:41,04/03/2016,03:41,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,C1474962,14/03/2016,23/02/2016,21,20:49,14/03/2016,20:49,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,C2222630,22/03/2016,23/02/2016,29,06:17,22/03/2016,06:17,M,Ocelot,Leopardus pardalis,2,1
51743,BSLL321,C2780363,27/03/2016,23/02/2016,34,22:19,27/03/2016,22:19,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,C2870429,28/03/2016,23/02/2016,35,19:33,28/03/2016,19:33,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,C2883221,28/03/2016,23/02/2016,35,23:07,28/03/2016,23:07,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,C2885574,28/03/2016,23/02/2016,35,23:46,28/03/2016,23:46,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,C2925714,29/03/2016,23/02/2016,36,07:08,29/03/2016,07:08,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,D0200645,02/04/2016,23/02/2016,40,00:10,02/04/2016,00:10,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,D0223162,02/04/2016,23/02/2016,40,06:26,02/04/2016,06:26,M,Ocelot,Leopardus pardalis,2,2
51743,BSLL321,D0319208,03/04/2016,23/02/2016,41,05:20,03/04/2016,05:20,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,D0519650,05/04/2016,23/02/2016,43,05:27,05/04/2016,05:27,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,D0782488,07/04/2016,23/02/2016,45,22:54,07/04/2016,22:54,M,Ocelot,Leopardus pardalis,1,1
51743,BSLL321,D0913635,09/04/2016,23/02/2016,47,03:47,09/04/2016,03:47,M,Ocelot,Leopardus pardalis,1,1
